cik,entityName,ticker,stateOfIncorporation,sic,sicDescription,industryCategory,fiscalYear,period,Revenues,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,ResearchAndDevelopmentExpense,OperatingCashFlow,Goodwill,IntangibleAssetsNetExcludingGoodwill,PatentsIssued,dataCompleteness,dataFreshness,yearAvailability,file_path
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,Delaware,8070,Medical Testing and Diagnostics,Diagnostics,2024,FY,11698000,-50045000,-35310000,28556000,84596000,-56040000,15098000,16688000,-24194000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,Delaware,8070,Medical Testing and Diagnostics,Diagnostics,2023,FY,12059000,-61618000,-54028000,31366000,51254000,-19888000,12138000,25353000,-40196000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,Delaware,8070,Medical Testing and Diagnostics,Diagnostics,2022,FY,12752000,-62493000,-62805000,65015000,87279000,-22264000,34905000,26915000,-48728000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,Delaware,8070,Medical Testing and Diagnostics,Diagnostics,2021,FY,11782000,-77702000,-71560000,83047000,118118000,-35071000,39898000,21943000,-47323000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,Delaware,8070,Medical Testing and Diagnostics,Diagnostics,2020,FY,11165000,-78208000,-63700000,93425000,156237000,-62812000,35781000,21255000,-50394000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
727207,"ACCELERATE DIAGNOSTICS,¬†INC.",,…tats-Unis,8070,Medical Testing and Diagnostics,Diagnostics,2019,FY,9297000,-84305000,-72831000,134424000,141803000,-7379000,61014000,25345000,-64794000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000727207.json
1280600,ACCELERON PHARMA INC.,,"Massachusetts, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,86897000,-197457000,-197895000,787848000,69695000,718153000,336456000,173146000,-223227000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001280600.json
1280600,ACCELERON PHARMA INC.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,92523000,-166030000,-167306000,932337000,77230000,855107000,670952000,173917000,-130327000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001280600.json
1280600,ACCELERON PHARMA INC.,,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,73993000,-124858000,-136445000,504906000,55430000,449476000,237677000,153953000,-93804000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001280600.json
1069308,ACER THERAPEUTICS INC.,,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,371790,-39102693,-22161717,14002065,61747027,-47744962,594659,5383998,-28904984,7647267,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001069308.json
1069308,ACER THERAPEUTICS INC.,,Canada,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,1260000,-26237315,-24614259,11624226,28385498,-16761272,2329218,11924837,-30251898,7647267,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001069308.json
1069308,ACER THERAPEUTICS INC.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,1260000,-15373993,-15948389,36256951,37980556,-1723605,12710762,6508055,-134909,7647267,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001069308.json
1069308,ACER THERAPEUTICS INC.,,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,,-22885449,-22802825,14613688,6389354,8224334,5761568,11847902,-17027415,7647267,,,83.33333333,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001069308.json
1069308,ACER THERAPEUTICS INC.,,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,,-29417969,-29897441,21465511,3095195,18370316,12077640,13851018,-29506949,7647267,,,83.33333333,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001069308.json
1070336,ACHILLION PHARMACEUTICALS INC,,Canada,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,0,-57968000,-62725000,236342000,19126000,217216000,43567000,45744000,-48273000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070336.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-15938000,-16638000,68647000,42953000,25694000,65325000,7700000,-7574000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,81000,-38243000,-42121000,76899000,44141000,32758000,72904000,30045000,-33072000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,81000,-48818000,-51920000,81445000,45066000,36379000,76677000,38670000,-47335000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,1030000,-33017000,-34104000,114192000,47711000,66481000,108910000,23135000,8644000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,Ireland,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,1144000,-24774000,-24964000,80388000,6843000,73545000,77829000,18031000,-20866000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,,-22215000,-22393000,66397000,5078000,61319000,63560000,16085000,-21617000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
1388320,"ACTINIUM PHARMACEUTICALS, INC.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,,-21899054,-22071447,11670407,6025944,5644463,9253831,16549693,-21461449,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001388320.json
786947,"ACURA PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,1563000,-879000,-1214000,860000,682000,178000,,1524000,-742000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000786947.json
786947,"ACURA PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,3570000,-1208000,-758000,1736000,7627000,-5891000,,1781000,-719000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000786947.json
786947,"ACURA PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,2657000,-3774000,-725000,2562000,7303000,-4741000,95000,1505000,-618000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000786947.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Ireland,8755,Cancer Immunotherapy R&D,Biotechnology,2025,FY,7285000,-47584000,-45733000,158072000,195501000,-37429000,41054000,28857000,-66592000,,3806000,,100,Recent,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Swiss Confederation,8755,Cancer Immunotherapy R&D,Biotechnology,2024,FY,174810000,-70814000,-68760000,245963000,234114000,11849000,91139000,149060000,-73206000,,3880000,,100,Recent,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Irlande,8755,Cancer Immunotherapy R&D,Pharmaceuticals,2023,FY,60281000,-113871000,-139741000,282616000,243103000,39513000,143991000,126509000,-140880000,,330000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Ireland,8755,Cancer Immunotherapy R&D,"Bien jouer aux devinettes !

Biotechnology",2022,FY,27148000,-165456000,-163965000,328916000,247038000,81878000,108033000,127726000,-141769000,,442000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Ireland,8755,Cancer Immunotherapy R&D,Biotechnology,2021,FY,6149000,-158090000,-162246000,469545000,263585000,205960000,149948000,111090000,10729000,,1000000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,…tats-Unis,8755,Cancer Immunotherapy R&D,Biotechnology,2020,FY,3958000,-130092000,-133405000,451142000,109915000,341227000,56882000,91568000,-53591000,,1730000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
1621227,ADAPTIMMUNE THERAPEUTICS PLC,,Etats-Unis,8755,Cancer Immunotherapy R&D,Biotechnology,2019,FY,1122000,-137165000,-139770000,181543000,57905000,123638000,50412000,97501000,-112507000,,2198000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001621227.json
